instance,LP Model value,Heuristic,Avg result difference (%)
967,121.4901,123.6532,1.7805
968,104.5935,109.5942,4.7811
969,94.1584,95.2119,1.1188
970,97.3049,100.2292,3.0053
971,104.649,106.2362,1.5167
972,91.6545,93.1717,1.6553
973,101.3393,103.0068,1.6455
974,97.7291,99.0062,1.3068
975,117.371,118.4617,0.9293
976,90.8876,93.3687,2.7299
977,105.9994,109.7781,3.5648
978,100.9709,103.7444,2.7468
979,116.8776,122.1278,4.4921
980,97.0083,98.5082,1.5462
981,111.9242,115.4419,3.143
982,112.7625,113.6034,0.7458
983,83.9505,85.1088,1.3797
984,124.8243,128.4838,2.9317
985,90.4869,90.8095,0.3565
986,103.2758,112.7745,9.1973
987,113.9315,114.1485,0.1904
988,116.0938,117.3745,1.1032
989,94.111,98.0788,4.2161
990,114.9011,115.2651,0.3168
991,116.4428,117.926,1.2737
992,108.9096,109.4344,0.4819
993,107.4531,110.0904,2.4544
994,101.31,102.77,1.4411
995,99.6648,101.2475,1.588
996,92.0688,96.9376,5.2882
997,102.8547,107.4275,4.4459
998,99.7911,101.9328,2.1462
999,85.0879,86.0046,1.0774
